run,label,step,raw_rollouts,retained_rollouts,aborted_rollouts_estimate,overlong_masked,reward/avg_score,reward/raw_environment_reward,reward/mixed_reward,reward/avg_num_turns,reward/response_tokens,reward/generated_tokens,reward/overlong_rate,reward/response_at_limit,reward/generated_at_limit,reward/response_length_overflow,reward/generated_length_overflow,response/aborted_ratio,response_length/mean,response_length/max,response_length/clip_ratio,response_length_non_aborted/clip_ratio,num_turns/mean,actor/pg_loss,actor/grad_norm,rollout_corr/k3_kl,trace/credit_mask_tokens,trace/k_step_credit_count,perf/throughput,timing_s/step
trace_foldgrpo,Trace+FoldGRPO,36,8,6.0,2.0,0,0.25,0.125,0.125,15.5,16128.125,1476.625,0.0,0.0,0.0,0.0,0.0,0.25,13265.625,30158.0,0.0,0.0,10.5,0.010754813105450012,1.4140625,0.007965964156028349,11813,33,838.2706393354434,81.23689033649862
trace_foldgrpo,Trace+FoldGRPO,37,12,11.0,1.0,0,0.75,0.75,0.75,36.75,17530.0,1067.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,16645.416015625,30362.0,0.0,0.0,13.0,0.00041422423813249526,1.15625,0.029195742109247174,12812,55,923.4047149638272,137.94330691173673
trace_foldgrpo,Trace+FoldGRPO,38,8,5.0,3.0,0,0.5,0.625,0.25,9.75,16723.75,1489.875,0.0,0.0,0.0,0.0,0.0,0.375,9983.125,22553.0,0.0,0.0,7.5,-0.03299182956106961,0.671875,0.11597196225193329,11919,25,970.5253798222942,53.8749434966594
trace_foldgrpo,Trace+FoldGRPO,39,8,8.0,0,0,0.5,0.625,0.625,17.5,11265.875,801.5,0.0,0.0,0.0,0.0,0.0,0.0,11265.875,24292.0,0.0,0.0,8.75,-0.028536477650050074,0.83203125,0.0024170115357264876,6412,25,1125.042871388161,57.60802690126002
trace_foldgrpo,Trace+FoldGRPO,40,12,9.0,3.0,0,0.0,0.0,0.0,27.25,17985.25,1675.8333333333333,0.0,0.0,0.0,0.0,0.0,0.25,15156.5,31984.0,0.0,0.0,12.333333333333334,-0.005127588221512269,0.578125,0.06748530561647688,20110,57,902.1933489185932,125.60666750185192
trace_foldgrpo,Trace+FoldGRPO,41,8,8.0,0,0,0.5,0.625,0.625,20.0,12387.125,751.875,0.0,0.0,0.0,0.0,0.0,0.0,12387.125,24948.0,0.0,0.0,10.0,0.000705176658811979,0.8515625,0.0016676078921591397,6015,30,1077.9437521692792,64.24082876369357
trace_foldgrpo,Trace+FoldGRPO,42,8,8.0,0,0,0.5,0.5,0.5,20.5,14656.875,1216.875,0.0,0.0,0.0,0.0,0.0,0.0,14656.875,29359.0,0.0,0.0,10.25,-0.026497083745198324,0.91796875,0.0030940732976887375,9735,30,993.96201932054,78.98239417001605
trace_foldgrpo,Trace+FoldGRPO,43,12,10.0,2.0,0,0.0,0.0,0.0,36.0,15731.0,1619.8333333333333,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,14384.5,30344.0,0.0,0.0,13.5,-0.003166850515602467,0.1612548828125,14.710012454961543,19438,59,928.5014119276663,119.98904747888446
trace_foldgrpo,Trace+FoldGRPO,44,16,14.0,2.0,0,0.5,0.5625,0.4375,62.5,18407.875,1328.0,0.0,0.0,0.0,0.0,0.0,0.125,17988.625,31372.0,0.0,0.0,16.875,-0.041361236333614215,0.87890625,0.07419390090217348,21248,90,957.2790096583631,186.948108330369
trace_foldgrpo,Trace+FoldGRPO,45,8,6.0,2.0,0,0.25,0.5,0.25,15.5,12235.875,1680.5,0.0,0.0,0.0,0.0,0.0,0.25,9494.125,27402.0,0.0,0.0,9.75,-0.0472757459647255,1.0078125,0.05824206504621543,13444,32,834.57588532968,63.22372947447002
trace_foldgrpo,Trace+FoldGRPO,46,8,6.0,2.0,0,0.0,0.0,0.0,14.0,14653.25,1041.125,0.0,0.0,0.0,0.0,0.0,0.25,11251.0,27893.0,0.0,0.0,9.0,-0.0270541999489069,0.99609375,0.019230998354032636,8329,29,1119.433394403586,53.54851865209639
trace_foldgrpo,Trace+FoldGRPO,47,8,6.0,2.0,0,0.0,0.0,0.0,14.0,13526.5,1239.5,0.0,0.0,0.0,0.0,0.0,0.25,11030.0,26582.0,0.0,0.0,9.75,-0.03212079028162407,0.96875,0.273211063380586,9916,31,1011.3107830735893,58.33271135576069
trace_foldgrpo,Trace+FoldGRPO,48,8,5.0,3.0,0,0.25,0.125,0.125,11.25,13189.625,2048.125,0.0,0.0,0.0,0.0,0.0,0.375,9530.0,27849.0,0.0,0.0,8.75,-0.004517419718467863,0.373046875,0.9048352656682255,16385,29,824.7098499392107,61.25730158761144
trace_foldgrpo,Trace+FoldGRPO,49,16,13.0,3.0,0,0.0,0.0,0.0,56.25,18953.125,1842.375,0.0,0.0625,0.0,0.0,0.0,0.1875,16402.1875,32768.0,0.0625,0.07692307978868484,16.25,-0.02079453902251771,0.9208984375,3.9726604047773435,29478,82,924.8882249839689,176.72730129398406
trace_foldgrpo,Trace+FoldGRPO,50,12,9.0,3.0,0,0.0,0.0,0.0,26.75,16215.083333333334,1562.8333333333333,0.0,0.0,0.0,0.0,0.0,0.25,13105.8330078125,30623.0,0.0,0.0,12.666666666666666,-0.02778374539533009,0.794921875,0.15738303464604542,18754,55,923.2584112837494,109.55275225639343
trace_foldgrpo,Trace+FoldGRPO,51,12,9.0,3.0,0,0.5,0.5,0.5,33.75,19285.75,2314.6666666666665,0.0,0.0,0.0,0.0,0.0,0.25,16141.25,31483.0,0.0,0.0,15.0,-0.027551504404982552,0.5537109375,0.8238899894058704,27776,66,932.2066629811495,127.8707873839885
trace_foldgrpo,Trace+FoldGRPO,52,12,12.0,0,0,0.75,0.8333333333333334,0.8333333333333334,49.0,17520.75,882.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,17520.75,29618.0,0.0,0.0,16.333333333333332,-0.02563722615983958,1.5546875,0.0014308733310220607,10594,59,748.8669217715712,180.057358764112
trace_foldgrpo,Trace+FoldGRPO,53,8,7.0,1.0,0,1.0,1.0,0.875,21.75,17942.5,1359.625,0.0,0.0,0.0,0.0,0.0,0.125,16833.25,28986.0,0.0,0.0,11.75,-0.012164937186753377,0.71484375,0.036241522859199904,10877,36,1037.2132302520913,81.62641733698547
trace_foldgrpo,Trace+FoldGRPO,54,8,6.0,2.0,0,0.0,0.0,0.0,16.5,14571.125,1231.875,0.0,0.0,0.0,0.0,0.0,0.25,12064.625,24886.0,0.0,0.0,10.75,-0.02326331613585353,0.90234375,0.0156983205160941,9855,36,986.2728263698289,64.01220667548478
trace_foldgrpo,Trace+FoldGRPO,55,8,6.0,2.0,0,0.25,0.375,0.375,16.0,9639.375,955.625,0.0,0.0,0.0,0.0,0.0,0.25,8571.625,24257.0,0.0,0.0,10.0,-0.032909612520597875,2.078125,0.009556781616993248,7645,32,854.220715659515,57.51967740803957
trace_foldgrpo,Trace+FoldGRPO,56,8,7.0,1.0,0,0.25,0.125,0.125,19.75,18960.75,2097.125,0.0,0.0,0.0,0.0,0.0,0.125,17096.0,28753.0,0.0,0.0,11.0,0.012784868275048211,1.2734375,0.5267223116534296,16777,32,986.2143902246393,86.90301099792123
trace_foldgrpo,Trace+FoldGRPO,57,12,11.0,1.0,0,0.25,0.08333333333333333,0.08333333333333333,45.25,15890.583333333334,1520.25,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,14964.4169921875,32337.0,0.0,0.0,17.333333333333332,0.005809321059738674,0.4736328125,0.05656674788307706,18243,58,656.8835063792936,178.0429845843464
